timestamp,gpu_util_pct,gpu_mem_used_mb,cpu_util_pct,ram_used_mb,pcie_tx_mbps,pcie_rx_mbps
1785412988.282116,100,5440.5625,4.0,10822.625,1.4296875,3.2421875
1785412988.8242228,100,5440.5625,5.5,10786.37109375,4.0048828125,9.822265625
1785412989.3676546,88,5440.5625,6.3,10907.19140625,10.1083984375,44.01171875
1785412989.9112146,100,5440.5625,10.4,10936.58203125,10.0126953125,43.9638671875
1785412990.4546325,100,5440.5625,6.7,10935.17578125,9.91796875,43.677734375
1785412990.996832,100,5440.5625,6.3,10938.90625,1.66796875,3.95703125
1785412991.5385618,100,5440.5625,4.3,10942.62890625,4.2431640625,14.0185546875
1785412992.0804372,100,5440.5625,4.9,10949.61328125,4.625,4.2431640625
1785412992.622417,100,5440.5625,5.5,10957.55078125,1.5732421875,3.48046875
1785412993.164438,100,5440.5625,4.4,10960.65625,1.66796875,3.7666015625
1785412993.7063408,100,5440.5625,4.5,10965.37109375,1.5732421875,3.8623046875
1785412994.2482197,100,5440.5625,4.8,10963.4609375,1.62109375,3.7666015625
1785412994.7913136,100,5440.5625,5.2,11015.26171875,9.583984375,41.1025390625
1785412995.3347948,100,5440.5625,6.7,11021.5078125,9.48828125,41.9130859375
1785412995.8778398,100,5440.5625,7.1,11021.30078125,9.6796875,40.81640625
1785412996.419596,100,5440.5625,7.6,11060.48046875,1.8115234375,5.0537109375
1785412996.9615629,100,5440.5625,6.6,11066.2421875,1.5732421875,3.2900390625
1785412997.5039346,100,5440.5625,4.2,11068.78125,1.5732421875,3.623046875
1785412998.0460827,100,5440.5625,4.8,11071.91796875,2.001953125,9.9658203125
1785412998.5880036,100,5440.5625,4.7,11076.96484375,1.5732421875,3.623046875
1785412999.13002,100,5440.5625,4.0,11080.37109375,1.62109375,3.7666015625
1785412999.672409,100,5440.5625,3.8,11082.5625,1.525390625,10.5849609375
1785413000.2146788,100,5440.5625,3.8,11088.03515625,1.7158203125,3.8623046875
1785413000.7584362,100,5440.5625,5.2,11095.84765625,10.3466796875,40.4833984375
