timestamp, utilization.gpu [%], memory.used [MiB]
2026/07/26 00:27:32.494, 0 %, 6865 MiB
2026/07/26 00:27:33.508, 0 %, 6865 MiB
2026/07/26 00:27:34.534, 0 %, 6865 MiB
2026/07/26 00:27:35.556, 0 %, 6865 MiB
2026/07/26 00:27:36.577, 0 %, 6865 MiB
2026/07/26 00:27:37.594, 0 %, 6865 MiB
2026/07/26 00:27:38.609, 0 %, 6865 MiB
2026/07/26 00:27:39.623, 0 %, 6865 MiB
2026/07/26 00:27:40.635, 0 %, 6865 MiB
2026/07/26 00:27:41.646, 0 %, 6865 MiB
2026/07/26 00:27:42.655, 0 %, 6865 MiB
2026/07/26 00:27:43.663, 0 %, 6865 MiB
2026/07/26 00:27:44.671, 0 %, 6865 MiB
2026/07/26 00:27:45.677, 0 %, 6865 MiB
2026/07/26 00:27:46.683, 0 %, 6865 MiB
2026/07/26 00:27:47.689, 0 %, 6865 MiB
2026/07/26 00:27:48.694, 0 %, 6865 MiB
2026/07/26 00:27:49.698, 0 %, 6865 MiB
2026/07/26 00:27:50.703, 100 %, 6865 MiB
2026/07/26 00:27:51.706, 100 %, 6865 MiB
2026/07/26 00:27:52.709, 100 %, 6865 MiB
2026/07/26 00:27:53.713, 100 %, 6865 MiB
2026/07/26 00:27:54.715, 100 %, 6865 MiB
2026/07/26 00:27:55.718, 100 %, 6865 MiB
2026/07/26 00:27:56.720, 100 %, 6865 MiB
2026/07/26 00:27:57.722, 100 %, 6865 MiB
2026/07/26 00:27:58.725, 100 %, 6865 MiB
2026/07/26 00:27:59.727, 100 %, 6865 MiB
2026/07/26 00:28:00.729, 100 %, 6865 MiB
2026/07/26 00:28:01.731, 0 %, 6865 MiB
2026/07/26 00:28:02.732, 0 %, 6865 MiB
2026/07/26 00:28:03.733, 0 %, 6865 MiB
2026/07/26 00:28:04.735, 0 %, 6865 MiB
2026/07/26 00:28:05.736, 0 %, 6865 MiB
2026/07/26 00:28:06.736, 0 %, 6865 MiB
2026/07/26 00:28:07.737, 0 %, 6865 MiB
2026/07/26 00:28:08.737, 0 %, 6865 MiB
2026/07/26 00:28:09.738, 0 %, 6865 MiB
2026/07/26 00:28:10.738, 0 %, 6865 MiB
2026/07/26 00:28:11.739, 0 %, 6865 MiB
2026/07/26 00:28:12.739, 0 %, 6865 MiB
2026/07/26 00:28:13.739, 0 %, 6865 MiB
2026/07/26 00:28:14.739, 0 %, 6865 MiB
2026/07/26 00:28:15.740, 0 %, 6865 MiB
2026/07/26 00:28:16.740, 0 %, 6865 MiB
2026/07/26 00:28:17.740, 0 %, 6865 MiB
2026/07/26 00:28:18.740, 0 %, 6865 MiB
2026/07/26 00:28:19.741, 0 %, 6865 MiB
2026/07/26 00:28:20.741, 0 %, 6865 MiB
2026/07/26 00:28:21.741, 0 %, 6865 MiB
2026/07/26 00:28:22.741, 0 %, 6865 MiB
2026/07/26 00:28:23.742, 0 %, 6865 MiB
2026/07/26 00:28:24.742, 0 %, 6865 MiB
2026/07/26 00:28:25.742, 0 %, 6865 MiB
2026/07/26 00:28:26.780, 0 %, 6865 MiB
2026/07/26 00:28:27.782, 0 %, 6865 MiB
2026/07/26 00:28:28.783, 0 %, 6865 MiB
2026/07/26 00:28:29.783, 0 %, 6865 MiB
2026/07/26 00:28:30.783, 0 %, 6865 MiB
2026/07/26 00:28:31.783, 0 %, 6865 MiB
2026/07/26 00:28:32.784, 0 %, 6865 MiB
